-1054,-6005,-583,9789,-595,14599,-3623,3731,64
-1650,-5991,-617,9636,-710,14730,-3617,3717,-7
-1540,-5961,-756,9024,-1040,14983,-3594,3733,-70
-846,-5969,-810,8567,-1309,15283,-3570,3720,-137
289,-6272,-738,8017,-1415,15841,-3551,3732,-189
1393,-6657,-703,7589,-1147,16025,-3518,3746,-259
2320,-7032,-643,7648,-1043,16448,-3515,3772,-310
2623,-7377,-558,7643,-906,16520,-3483,3765,-363
2450,-7486,-491,7607,-966,16389,-3457,3785,-416
1730,-7364,-268,7498,-1407,15792,-3435,3784,-471
578,-7146,238,7480,-1428,15515,-3397,3784,-471
-548,-6911,629,7793,-1166,15483,-3397,3755,-524
-1066,-6801,819,7571,-809,15623,-3389,3778,-589
-740,-6955,803,6870,-808,16002,-3355,3761,-649
148,-7462,797,5839,-1252,16024,-3338,3751,-732
856,-7827,922,6140,-803,16857,-3298,3762,-789
951,-8187,958,6184,-750,17026,-3279,3747,-853
789,-8718,1207,5735,-1501,16802,-3249,3737,-914
391,-8974,1796,5245,-2125,17009,-3232,3745,-1008
-417,-8799,2462,5538,-1691,16773,-3200,3721,-1065
-1729,-8339,2956,5456,-1243,16730,-3186,3688,-1156
-3323,-7649,3301,5540,-672,16595,-3144,3668,-1220
-4710,-7067,3448,5892,-238,16449,-3131,3645,-1312
-5775,-6785,3511,5850,290,16856,-3104,3598,-1392
-6329,-6928,3453,5025,370,17038,-3096,3535,-1487
-5774,-7032,3304,3655,-306,17268,-3076,3495,-1565
-4400,-7328,3498,2491,-1307,17808,-3041,3410,-1656
-3321,-7114,3776,2660,-987,18670,-2998,3383,-1723
-1961,-6613,3601,2941,-696,18089,-2983,3347,-1814
-868,-6225,3390,3551,-327,18349,-2972,3329,-1865
79,-5899,2706,3681,1108,18049,-2940,3279,-1918
955,-5656,1716,2980,778,17647,-2913,3280,-1972
1332,-5632,1547,2780,-218,17842,-2884,3275,-1997
1264,-5699,1586,2806,-138,17541,-2846,3250,-2035
719,-5737,1902,2438,-486,17471,-2815,3278,-2079
17,-5614,2018,2193,74,18058,-2782,3251,-2143
-600,-5457,2026,1632,-1008,17303,-2762,3237,-2176
-1026,-5164,2499,2026,-915,17504,-2716,3197,-2242
-1231,-5106,2547,2144,-384,17351,-2683,3198,-2279
-1024,-5299,2503,1840,-172,17646,-2665,3183,-2325
-714,-5811,2560,1675,213,17786,-2631,3133,-2380
-170,-6335,2351,1744,419,17912,-2583,3128,-2427
336,-7027,2354,1950,279,17891,-2528,3097,-2479
626,-7646,2062,1519,1018,18058,-2485,3091,-2528
691,-7898,1753,822,249,17520,-2432,3080,-2575
10,-7906,2075,676,-565,17528,-2382,3076,-2653
-757,-7821,2517,454,-456,17234,-2341,3076,-2653
-1717,-7639,2843,249,225,17185,-2341,3049,-2710
-2418,-7421,3041,-26,587,17342,-2268,2997,-2765
-2692,-7128,2798,-30,1183,17625,-2229,2965,-2819
-2362,-7083,2371,244,349,17661,-2177,2922,-2883
-1478,-7187,1894,326,1289,18062,-2115,2908,-2930
-186,-7692,1220,-216,1168,18063,-2047,2885,-3001
1249,-8058,736,-794,848,18341,-2007,2864,-3042
2336,-8350,331,-1188,746,18425,-1944,2868,-3099
2904,-8559,110,-1875,136,18128,-1858,2908,-3152
2875,-8311,192,-2076,-768,18145,-1778,2933,-3198
2567,-7719,393,-1923,-319,17603,-1711,2936,-3230
1930,-7044,399,-1678,316,17692,-1648,2956,-3264
1668,-6590,94,-1829,465,17646,-1570,2960,-3300
1583,-6276,-222,-2083,406,17826,-1507,2982,-3361
1347,-6038,-259,-2301,-475,17711,-1461,3004,-3378
1332,-5829,-494,-2476,-114,17428,-1384,2992,-3410
1312,-5809,-540,-2912,-164,17415,-1329,3008,-3427
1358,-5834,-736,-3184,394,17599,-1278,3014,-3466
1416,-5712,-822,-3577,-106,18007,-1197,3033,-3508
1618,-5558,-822,-4064,-590,17902,-1141,3060,-3518
1819,-5486,-574,-4434,-1375,17624,-1072,3079,-3552
1972,-5521,-91,-4246,-1521,17504,-1017,3094,-3569
2118,-5552,186,-3975,-877,17440,-954,3093,-3574
2050,-5783,281,-3751,-788,17323,-932,3125,-3601
1859,-5871,367,-3444,-469,17458,-851,3133,-3642
1739,-6288,464,-3980,-480,17408,-794,3144,-3647
1673,-6776,736,-4570,-1013,17285,-722,3157,-3685
1939,-7413,791,-5493,-714,16823,-660,3191,-3707
2406,-8025,1123,-6010,-807,16425,-577,3196,-3733
2572,-8802,1400,-5959,-1185,16703,-494,3217,-3737
2403,-9153,1681,-6164,-845,16471,-438,3221,-3783
2044,-9254,1759,-6011,-405,16536,-340,3230,-3789
1759,-9133,1457,-6142,267,16931,-248,3246,-3823
1424,-8970,1051,-6199,409,17228,-158,3237,-3830
1230,-9000,667,-6241,203,16965,-86,3267,-3830
1190,-9328,484,-6463,-530,16593,-247,3267,-3881
1438,-9750,611,-6947,-1166,16384,9,3270,-3892
1862,-10233,884,-7278,-2065,15769,103,3278,-3912
2172,-10652,1245,-7488,-2293,15719,217,3290,-3906
2190,-10887,1702,-7649,-2183,15804,304,3326,-3937
2097,-11020,2018,-7906,-1481,15791,407,3345,-3955
1904,-10849,2120,-8304,-1311,15795,507,3358,-3970
1632,-10503,2159,-8367,-996,15382,612,3375,-3966
1516,-10303,2032,-8565,-823,14973,712,3377,-4004
1739,-10164,1717,-8568,-814,14831,804,3407,-3990
1832,-10228,1528,-8752,-935,14652,885,3400,-4008
1777,-10160,1226,-9001,-1268,14284,994,3431,-4009
1680,-10071,1052,-9177,-1614,13833,1087,3445,-4014
1500,-10042,973,-9444,-1976,13812,1180,3451,-4022
